client_id,type
CLT-00001,buyer
CLT-00002,buyer
CLT-00003,buyer
CLT-00004,buyer
CLT-00005,buyer
CLT-00006,buyer
CLT-00007,buyer
CLT-00008,buyer
CLT-00009,buyer
CLT-00010,seller
CLT-00011,seller
CLT-00012,seller
CLT-00013,seller
CLT-00014,buyer
CLT-00015,buyer
CLT-00016,seller
CLT-00017,buyer
CLT-00018,buyer
CLT-00019,seller
CLT-00020,buyer
CLT-00021,seller
CLT-00022,seller
CLT-00023,seller
CLT-00024,buyer
CLT-00025,seller
CLT-00026,buyer
CLT-00027,buyer
CLT-00028,seller
CLT-00029,seller
CLT-00030,buyer
CLT-00031,seller
CLT-00032,seller
CLT-00033,seller
CLT-00034,buyer
CLT-00035,seller
CLT-00036,seller
CLT-00037,buyer
CLT-00038,seller
CLT-00039,seller
CLT-00040,buyer
CLT-00041,seller
CLT-00042,seller
CLT-00043,seller
CLT-00044,seller
CLT-00045,seller
CLT-00046,buyer
CLT-00047,buyer
CLT-00048,buyer
CLT-00049,buyer
CLT-00050,seller
CLT-00051,buyer
CLT-00052,seller
CLT-00053,seller
CLT-00054,buyer
CLT-00055,buyer
CLT-00056,seller
CLT-00057,buyer
CLT-00058,seller
CLT-00059,seller
CLT-00060,seller
CLT-00061,seller
CLT-00062,buyer
CLT-00063,seller
CLT-00064,buyer
CLT-00065,buyer
CLT-00066,seller
CLT-00067,seller
CLT-00068,buyer
CLT-00069,seller
CLT-00070,seller
CLT-00071,seller
CLT-00072,seller
CLT-00073,buyer
CLT-00074,seller
CLT-00075,buyer
CLT-00076,buyer
CLT-00077,buyer
CLT-00078,seller
CLT-00079,seller
CLT-00080,buyer
CLT-00081,seller
CLT-00082,seller
CLT-00083,seller
CLT-00084,seller
CLT-00085,buyer
CLT-00086,buyer
CLT-00087,seller
CLT-00088,buyer
CLT-00089,buyer
CLT-00090,buyer
CLT-00091,buyer
CLT-00092,buyer
CLT-00093,buyer
CLT-00094,buyer
CLT-00095,seller
CLT-00096,buyer
CLT-00097,seller
CLT-00098,seller
CLT-00099,seller
CLT-00100,seller
CLT-00101,buyer
CLT-00102,buyer
CLT-00103,seller
CLT-00104,buyer
CLT-00105,seller
