property_id,address,city,state,zip,latitude,longitude,type,beds,list_price
PRP-00001,0293 Salas Cliffs,East Point,GA,31909,33.6773,-84.4451,single_family,4.0,445872
PRP-00002,1246 Michelle Keys Suite 292,Sandy Springs,GA,30181,33.9734,-84.3802,single_family,5.0,603135
PRP-00003,8885 Tyler Field,Nashville,TN,37190,36.102,-86.7769,townhouse,5.0,192067
PRP-00004,775 Lee Trace,Franklin,TN,37510,35.8763,-86.8204,condo,1.0,332380
PRP-00005,449 Shah Expressway,Atlanta,GA,30751,33.8091,-84.3598,single_family,3.0,215085
PRP-00006,23968 Alexander Extensions Suite 553,Matthews,NC,28893,35.0468,-80.6653,single_family,6.0,438975
PRP-00007,1601 Kenneth Gateway,Sandy Springs,GA,31950,33.8864,-84.4066,townhouse,2.0,163704
PRP-00008,260 Kelly Street,Sandy Springs,GA,30422,33.9791,-84.3878,single_family,4.0,296969
PRP-00009,008 Taylor Causeway,Marietta,GA,30469,33.9488,-84.6165,single_family,3.0,272835
PRP-00010,5687 Clark Common,Matthews,NC,28764,35.1684,-80.7496,condo,5.0,256296
PRP-00011,40695 Donald Inlet,Atlanta,GA,30151,33.7101,-84.434,single_family,5.0,541343
PRP-00012,0409 Anthony Vista Suite 987,Brentwood,TN,37271,36.1055,-86.8211,condo,6.0,378221
PRP-00013,440 Lisa Landing,Tucker,GA,30433,33.8234,-84.2709,condo,1.0,235967
PRP-00014,8296 Little Mill Suite 836,Huntersville,NC,28352,35.4323,-80.821,townhouse,2.0,212144
PRP-00015,7548 Ellis Plains Apt. 945,Huntersville,NC,27916,35.3353,-80.8823,single_family,1.0,276527
PRP-00016,3762 Bradley Ville,Nashville,TN,37597,36.2253,-86.7197,multi_family,1.0,979312
PRP-00017,55771 Michael Throughway Apt. 031,Brookhaven,GA,30501,33.9012,-84.2962,condo,2.0,390784
PRP-00018,24995 Lawrence Corner,Tucker,GA,31568,33.8598,-84.2415,single_family,3.0,227793
PRP-00019,838 Alyssa Crossroad,Charlotte,NC,28516,35.2772,-80.7874,townhouse,5.0,235500
PRP-00020,2961 Atkinson Spurs Apt. 568,Tucker,GA,31508,33.8497,-84.2396,condo,3.0,217554
PRP-00021,91829 Conrad Ferry,Decatur,GA,31234,33.6971,-84.2739,single_family,2.0,166193
PRP-00022,40744 Sharon Mews Suite 761,Franklin,TN,37995,35.9138,-86.8406,multi_family,4.0,550867
PRP-00023,917 Thompson Mount Suite 887,Brookhaven,GA,31143,33.7879,-84.2572,single_family,2.0,235213
PRP-00024,3899 Wheeler Plain Apt. 151,Nashville,TN,37994,36.1124,-86.8084,land,,370875
PRP-00025,739 Kelly Summit Suite 460,Huntersville,NC,27455,35.4268,-80.7635,single_family,1.0,150000
PRP-00026,4390 Hall Bridge,Tucker,GA,31790,33.8794,-84.2679,single_family,2.0,366316
PRP-00027,68262 Brent Junction,Huntersville,NC,28020,35.3347,-80.9134,single_family,2.0,169182
PRP-00028,22635 Karl Locks Suite 581,Tucker,GA,30193,33.8537,-84.1478,single_family,5.0,199595
PRP-00029,971 Stark Plains Suite 352,Marietta,GA,31632,33.994,-84.4789,single_family,6.0,309062
PRP-00030,993 Martin Roads,Charlotte,NC,28766,35.1957,-80.8332,multi_family,1.0,1041596
PRP-00031,1390 Janice Manor,Brookhaven,GA,31674,33.7681,-84.2614,multi_family,2.0,996044
PRP-00032,314 Renee Court,Nashville,TN,38183,36.1229,-86.7178,land,,142030
PRP-00033,682 Hobbs View Apt. 189,Matthews,NC,27363,35.1713,-80.7601,condo,4.0,284497
PRP-00034,737 Lee Oval Suite 837,Nashville,TN,38317,36.2421,-86.837,single_family,4.0,464530
PRP-00035,584 Destiny Club,Brookhaven,GA,31056,33.7819,-84.2921,multi_family,3.0,891103
PRP-00036,1132 Duran Village,Atlanta,GA,31276,33.8197,-84.3361,single_family,1.0,354679
PRP-00037,3717 Pena Orchard Apt. 191,Charlotte,NC,27318,35.2909,-80.7847,single_family,6.0,284105
PRP-00038,7837 Watson Junction,Sandy Springs,GA,31698,33.9193,-84.2908,condo,3.0,159636
PRP-00039,578 Henry Port Apt. 211,Decatur,GA,30213,33.6958,-84.2347,townhouse,3.0,322385
PRP-00040,60973 Samantha Crescent,Decatur,GA,31846,33.8253,-84.242,multi_family,4.0,526679
PRP-00041,4038 Jimenez Lodge,Charlotte,NC,27435,35.2938,-80.8728,townhouse,4.0,293374
