deal_id,property_id,listing_agent_id,buyer_agent_id,office_id,side,status,list_date,contract_date,close_date,cancellation_date,stage_at_cancellation,sale_price,commission_rate,agent_split,gci,lead_source,title_vendor,lender,escrow_company,has_home_warranty
DEAL-00001,PRP-00001,AGT-0059,AGT-0294,OFF-005,listing,closed,2025-09-13,2025-10-13,2025-11-21,,,448822.27,0.0605,0.63,17106.86,sign_call,In-House Title,Chase,In-House Escrow,False
DEAL-00002,PRP-00002,AGT-0345,AGT-0342,OFF-002,listing,cancelled,2025-01-26,2025-02-25,,2025-03-13,Financing,,0.0484,0.68,,sphere,In-House Title,US Bank,Old Republic Escrow,False
DEAL-00003,PRP-00003,AGT-0446,AGT-0367,OFF-025,dual,closed,2025-05-10,2025-05-21,2025-06-23,,,189557.53,0.0608,0.88,10142.09,past_client,In-House Title,Chase,In-House Escrow,False
DEAL-00004,PRP-00004,AGT-0420,AGT-0051,OFF-003,buyer,closed,2025-05-29,2025-06-14,2025-07-22,,,344297.35,0.064,0.73,16085.57,sign_call,In-House Title,Wells Fargo,Chicago Title Escrow,False
DEAL-00005,PRP-00005,AGT-0030,AGT-0240,OFF-003,listing,closed,2025-04-05,2025-06-20,2025-08-31,,,210505.5,0.0628,0.83,10972.39,realtor_com,In-House Title,Wells Fargo,In-House Escrow,False
DEAL-00006,PRP-00006,AGT-0038,AGT-0068,OFF-005,dual,pending_close,2024-08-10,2024-09-11,,,,445627.34,0.0544,0.61,,social_media,In-House Title,Wells Fargo,In-House Escrow,False
DEAL-00007,PRP-00007,AGT-0389,AGT-0383,OFF-001,dual,closed,2026-02-20,2026-03-17,2026-05-11,,,159796.7,0.0557,0.69,6141.47,referral,In-House Title,Cash / Unknown,In-House Escrow,True
DEAL-00008,PRP-00008,AGT-0430,AGT-0369,OFF-025,buyer,financing,2026-01-22,2026-04-20,,,,294587.53,0.0508,0.75,,open_house,Stewart Title,Cash / Unknown,Old Republic Escrow,False
DEAL-00009,PRP-00009,AGT-0334,AGT-0448,OFF-017,dual,cancelled,2026-02-20,2026-05-10,,2026-06-30,Title,,0.0453,0.63,,sphere,In-House Title,US Bank,Old Republic Escrow,False
DEAL-00010,PRP-00010,AGT-0208,AGT-0330,OFF-017,dual,closed,2026-02-20,2026-04-10,2026-05-17,,,237199.57,0.046,0.69,7528.71,sign_call,First American Title,Wells Fargo,Chicago Title Escrow,True
DEAL-00011,PRP-00011,AGT-0022,AGT-0341,OFF-016,dual,closed,2025-05-16,2025-05-24,2025-06-07,,,541165.29,0.0648,0.68,23845.91,sphere,In-House Title,Wells Fargo,In-House Escrow,False
DEAL-00012,PRP-00012,AGT-0329,AGT-0302,OFF-014,dual,pending_close,2025-11-17,2025-12-05,,,,368573.96,0.0484,0.62,,past_client,Stewart Title,Bank of America,Old Republic Escrow,True
DEAL-00013,PRP-00013,AGT-0052,AGT-0395,OFF-022,dual,appraisal,2024-05-25,2024-08-13,,,,226291.96,0.0518,0.63,,sign_call,First American Title,Chase,In-House Escrow,True
DEAL-00014,PRP-00014,AGT-0385,AGT-0346,OFF-009,buyer,closed,2024-11-25,2024-12-22,2025-02-04,,,196114.68,0.0607,0.73,8690.04,referral,In-House Title,Cash / Unknown,Old Republic Escrow,False
DEAL-00015,PRP-00015,AGT-0091,AGT-0396,OFF-004,listing,closed,2024-08-26,2024-11-10,2024-12-07,,,283690.82,0.0517,0.8,11733.45,sphere,In-House Title,Cash / Unknown,In-House Escrow,False
DEAL-00016,PRP-00016,AGT-0288,AGT-0300,OFF-011,listing,closed,2024-09-05,2024-11-19,2024-12-25,,,941564.42,0.0523,0.79,38902.62,social_media,Stewart Title,Chase,Old Republic Escrow,False
DEAL-00017,PRP-00017,AGT-0244,AGT-0282,OFF-021,dual,closed,2024-11-30,2025-01-04,2025-02-03,,,374010.63,0.061,0.73,16654.69,brokerage_lead,In-House Title,US Bank,Old Republic Escrow,True
DEAL-00018,PRP-00018,AGT-0341,AGT-0322,OFF-003,buyer,closed,2024-09-14,2024-11-19,2024-12-07,,,213395.5,0.0582,0.6,7451.77,zillow,Stewart Title,Wells Fargo,In-House Escrow,False
DEAL-00019,PRP-00019,AGT-0170,AGT-0325,OFF-004,buyer,closed,2025-11-08,2026-02-01,2026-03-19,,,230743.89,0.0453,0.62,6480.67,realtor_com,In-House Title,Bank of America,Chicago Title Escrow,True
DEAL-00020,PRP-00020,AGT-0369,AGT-0052,OFF-014,buyer,closed,2025-09-14,2025-11-09,2025-12-21,,,202864.46,0.057,0.63,7284.86,brokerage_lead,First American Title,Chase,Chicago Title Escrow,False
DEAL-00021,PRP-00021,AGT-0435,AGT-0074,OFF-006,dual,closed,2025-03-26,2025-06-16,2025-07-20,,,165872.57,0.0455,0.69,5207.57,brokerage_lead,Stewart Title,Chase,Chicago Title Escrow,False
DEAL-00022,PRP-00022,AGT-0274,AGT-0332,OFF-008,dual,closed,2025-11-08,2025-12-04,2026-01-09,,,550683.2,0.0633,0.65,22657.86,sphere,In-House Title,Chase,Chicago Title Escrow,True
DEAL-00023,PRP-00023,AGT-0345,AGT-0480,OFF-002,dual,closed,2025-04-17,2025-06-08,2025-07-29,,,226325.83,0.0492,0.68,7571.96,sign_call,Stewart Title,Wells Fargo,Chicago Title Escrow,False
DEAL-00024,PRP-00024,AGT-0131,AGT-0388,OFF-025,dual,closed,2025-08-07,2025-09-13,2025-10-16,,,342894.02,0.0581,0.72,14343.94,past_client,Fidelity National,Chase,In-House Escrow,False
DEAL-00025,PRP-00025,AGT-0483,AGT-0048,OFF-017,buyer,closed,2024-04-23,2024-07-08,2024-08-15,,,138643.76,0.0604,0.73,6113.08,sphere,First American Title,Cash / Unknown,In-House Escrow,True
DEAL-00026,PRP-00026,AGT-0157,AGT-0484,OFF-021,dual,closed,2025-03-02,2025-04-14,2025-05-22,,,363652.1,0.0477,0.69,11968.88,open_house,In-House Title,Wells Fargo,Old Republic Escrow,True
DEAL-00027,PRP-00027,AGT-0241,AGT-0204,OFF-024,listing,closed,2026-02-20,2026-03-21,2026-05-05,,,167984.13,0.0527,0.8,7082.21,social_media,In-House Title,Wells Fargo,Chicago Title Escrow,False
DEAL-00028,PRP-00028,AGT-0396,AGT-0475,OFF-008,listing,closed,2024-11-03,2025-01-03,2025-01-31,,,184859.5,0.0536,0.77,7629.52,brokerage_lead,In-House Title,US Bank,Old Republic Escrow,False
DEAL-00029,PRP-00029,AGT-0047,AGT-0403,OFF-024,dual,cancelled,2025-09-21,2025-10-01,,2025-11-15,Title,,0.0468,0.64,,sphere,Stewart Title,Chase,Old Republic Escrow,False
DEAL-00030,PRP-00030,AGT-0197,AGT-0166,OFF-001,dual,closed,2025-06-07,2025-08-20,2025-09-17,,,959818.34,0.0591,0.6,34035.16,sphere,In-House Title,Chase,Old Republic Escrow,True
DEAL-00031,PRP-00031,AGT-0346,AGT-0270,OFF-007,buyer,cancelled,2024-05-01,2024-06-28,,2024-09-02,Appraisal,,0.0477,0.8,,referral,Stewart Title,Wells Fargo,In-House Escrow,False
DEAL-00032,PRP-00032,AGT-0447,AGT-0239,OFF-010,listing,closed,2025-06-02,2025-08-27,2025-10-25,,,147137.46,0.0469,0.6,4140.45,brokerage_lead,Fidelity National,Rocket Mortgage,Chicago Title Escrow,True
DEAL-00033,PRP-00033,AGT-0467,AGT-0238,OFF-003,dual,under_contract,2024-08-28,2024-09-09,,,,270289.14,0.0618,0.76,,open_house,In-House Title,Wells Fargo,In-House Escrow,True
DEAL-00034,PRP-00034,AGT-0430,AGT-0480,OFF-025,listing,closed,2024-07-09,2024-09-21,2024-10-29,,,465041.54,0.0623,0.68,19701.02,realtor_com,Stewart Title,Chase,In-House Escrow,False
DEAL-00035,PRP-00035,AGT-0192,AGT-0283,OFF-009,dual,closed,2024-07-07,2024-08-31,2024-10-08,,,867802.47,0.0591,0.74,37952.47,brokerage_lead,Fidelity National,Wells Fargo,Chicago Title Escrow,False
DEAL-00036,PRP-00036,AGT-0240,AGT-0339,OFF-007,buyer,closed,2025-09-21,2025-12-05,2026-01-27,,,367951.0,0.0635,0.75,17523.67,sign_call,Stewart Title,Rocket Mortgage,Chicago Title Escrow,False
DEAL-00037,PRP-00037,AGT-0486,AGT-0217,OFF-023,buyer,closed,2024-01-11,2024-02-22,2024-03-07,,,290843.79,0.0505,0.77,11309.46,referral,In-House Title,Bank of America,Old Republic Escrow,True
DEAL-00038,PRP-00038,AGT-0329,AGT-0016,OFF-014,dual,closed,2025-05-01,2025-06-01,2025-07-08,,,161449.65,0.0593,0.62,5935.86,realtor_com,Fidelity National,Cash / Unknown,Old Republic Escrow,False
DEAL-00039,PRP-00039,AGT-0001,AGT-0372,OFF-021,listing,inspection,2024-08-14,2024-08-22,,,,306641.22,0.0451,0.71,,open_house,Stewart Title,Chase,Old Republic Escrow,False
DEAL-00040,PRP-00040,AGT-0193,AGT-0217,OFF-006,buyer,under_contract,2025-04-04,2025-04-19,,,,530449.52,0.0516,0.77,,zillow,Stewart Title,Wells Fargo,In-House Escrow,False
DEAL-00041,PRP-00041,AGT-0120,AGT-0467,OFF-014,listing,closed,2024-04-09,2024-05-04,2024-06-17,,,275726.99,0.0615,0.62,10513.47,zillow,In-House Title,Cash / Unknown,Chicago Title Escrow,False
DEAL-00042,PRP-00042,AGT-0144,AGT-0102,OFF-008,buyer,title,2024-05-29,2024-06-03,,,,198309.39,0.0508,0.68,,realtor_com,In-House Title,Cash / Unknown,Chicago Title Escrow,True
DEAL-00043,PRP-00043,AGT-0062,AGT-0174,OFF-003,dual,closed,2024-03-29,2024-04-10,2024-05-09,,,232936.75,0.0641,0.64,9556.0,past_client,In-House Title,Cash / Unknown,In-House Escrow,False
DEAL-00044,PRP-00044,AGT-0378,AGT-0326,OFF-013,buyer,closed,2024-12-08,2025-02-24,2025-04-06,,,195131.67,0.0618,0.73,8803.17,sphere,Fidelity National,Cash / Unknown,Old Republic Escrow,False
DEAL-00045,PRP-00045,AGT-0350,AGT-0220,OFF-001,buyer,listed,2024-11-13,,,,,,0.0462,0.7,,social_media,In-House Title,Cash / Unknown,In-House Escrow,False
DEAL-00046,PRP-00046,AGT-0379,AGT-0487,OFF-007,buyer,closed,2024-08-20,2024-11-15,2024-12-21,,,253735.75,0.0459,0.65,7570.21,sphere,Stewart Title,Chase,Chicago Title Escrow,False
DEAL-00047,PRP-00047,AGT-0453,AGT-0180,OFF-021,buyer,closed,2024-09-15,2024-12-10,2024-12-30,,,439178.91,0.0515,0.83,18772.7,referral,In-House Title,Chase,Old Republic Escrow,True
DEAL-00048,PRP-00048,AGT-0467,AGT-0398,OFF-003,listing,closed,2024-02-26,2024-03-02,2024-03-27,,,185623.98,0.0485,0.76,6842.1,zillow,Stewart Title,Rocket Mortgage,In-House Escrow,True
DEAL-00049,PRP-00049,AGT-0380,AGT-0290,OFF-018,buyer,pending_close,2024-03-20,2024-04-16,,,,505188.54,0.0614,0.87,,open_house,Fidelity National,Chase,Old Republic Escrow,False
DEAL-00050,PRP-00050,AGT-0342,AGT-0465,OFF-020,buyer,cancelled,2024-10-13,2024-12-13,,2024-12-29,Appraisal,,0.0597,0.69,,past_client,In-House Title,US Bank,Old Republic Escrow,True
DEAL-00051,PRP-00051,AGT-0300,AGT-0264,OFF-014,dual,closed,2024-04-23,2024-07-12,2024-08-14,,,212684.85,0.0626,0.7,9319.85,sphere,In-House Title,Chase,In-House Escrow,False
DEAL-00052,PRP-00052,AGT-0428,AGT-0186,OFF-012,buyer,financing,2024-03-18,2024-04-27,,,,1003049.64,0.0525,0.61,,sphere,Stewart Title,Cash / Unknown,Chicago Title Escrow,True
DEAL-00053,PRP-00053,AGT-0335,AGT-0055,OFF-014,dual,title,2024-04-11,2024-04-27,,,,174016.57,0.053,0.68,,sphere,Fidelity National,Rocket Mortgage,Old Republic Escrow,True
DEAL-00054,PRP-00054,AGT-0362,AGT-0051,OFF-005,buyer,closed,2024-03-23,2024-05-21,2024-07-01,,,270180.38,0.0486,0.73,9585.46,sign_call,In-House Title,Rocket Mortgage,In-House Escrow,True
DEAL-00055,PRP-00055,AGT-0064,AGT-0456,OFF-001,listing,pending_close,2024-03-18,2024-05-23,,,,261708.21,0.0597,0.73,,referral,In-House Title,Cash / Unknown,In-House Escrow,False
